token_name,default_value,source_file,tier,source_tier,formula,namespace,category,concept,property,component,element,variant,state,scale,mode,collisions,line,disposition,unmatched_segments
$accordion-context,"""Accordion""",packages/usa-accordion/src/styles/_usa-accordion.scss,local,component,component,,,,,accordion,,,,,,,5,component-local,context
$accordion-border,units($theme-accordion-border-width) solid color($theme-accordion-border-color),packages/usa-accordion/src/styles/_usa-accordion.scss,local,component,component.category,,border,,,accordion,,,,,,border:category/property,7,component-local,
$accordion-button-background-active-color,"next-token( $theme-accordion-button-background-color, ""darker"" )",packages/usa-accordion/src/styles/_usa-accordion.scss,local,component,component.category.property.element.state,,color,,background,accordion,button,,active,,,color:category/property; button:element/component,10,component-local,
$accordion-icon-gap,units(2.5),packages/usa-accordion/src/styles/_usa-accordion.scss,local,component,component.category.element,,gap,,,accordion,icon,,,,,icon:element/component,15,component-local,
$accordion-icon-padding,$accordion-icon-gap * 2 + units(2),packages/usa-accordion/src/styles/_usa-accordion.scss,local,component,component.property.element,,,,padding,accordion,icon,,,,,icon:element/component,17,component-local,
$accordion-icon-map-defaults,"( color: color(""ButtonText""), svg-height: 20, svg-width: 20, height: units(3), )",packages/usa-accordion/src/styles/_usa-accordion.scss,local,component,component.element,,,,,accordion,icon,,,,,icon:element/component,21,component-local|map-container,map defaults
$accordion-icon-map-defaults-color,"color(""ButtonText"")",packages/usa-accordion/src/styles/_usa-accordion.scss,local,component,component.category.element,,color,,,accordion,icon,,,,,color:category/property; icon:element/component,21,component-local,map defaults
$accordion-icon-map-defaults-svg-height,20,packages/usa-accordion/src/styles/_usa-accordion.scss,local,component,component.property.element,,,,height,accordion,icon,,,,,icon:element/component,21,component-local,map defaults svg
$accordion-icon-map-defaults-svg-width,20,packages/usa-accordion/src/styles/_usa-accordion.scss,local,component,component.property.element,,,,width,accordion,icon,,,,,icon:element/component,21,component-local,map defaults svg
$accordion-icon-map-defaults-height,units(3),packages/usa-accordion/src/styles/_usa-accordion.scss,local,component,component.property.element,,,,height,accordion,icon,,,,,icon:element/component,21,component-local,map defaults
$accordion-button-unopen-hc-icon,"map.merge( $accordion-icon-map-defaults, ( ""name"": ""add"", ) )",packages/usa-accordion/src/styles/_usa-accordion.scss,local,component,component.element,,,,,accordion,button,,,,,button:element/component,28,component-local,unopen hc icon
$accordion-button-open-hc-icon,"map.merge( $accordion-icon-map-defaults, ( ""name"": ""remove"", ) )",packages/usa-accordion/src/styles/_usa-accordion.scss,local,component,component.element,,,,,accordion,button,,,,,button:element/component,35,component-local,open hc icon
$alert-icons,"( success: ""check_circle"", warning: ""warning"", error: ""error"", info: ""info"", emergency: ""error"", )",packages/usa-alert/src/styles/_usa-alert.scss,local,component,component,,,,,alert,,,,,,,6,component-local|map-container,icons
$alert-icons-success,"""check_circle""",packages/usa-alert/src/styles/_usa-alert.scss,local,component,component.concept,,,success,,alert,,,,,,,6,component-local,icons
$alert-icons-warning,"""warning""",packages/usa-alert/src/styles/_usa-alert.scss,local,component,component.concept,,,warning,,alert,,,,,,,6,component-local,icons
$alert-icons-error,"""error""",packages/usa-alert/src/styles/_usa-alert.scss,local,component,component.concept,,,error,,alert,,,,,,,6,component-local,icons
$alert-icons-info,"""info""",packages/usa-alert/src/styles/_usa-alert.scss,local,component,component.concept,,,info,,alert,,,,,,,6,component-local,icons
$alert-icons-emergency,"""error""",packages/usa-alert/src/styles/_usa-alert.scss,local,component,component.concept,,,emergency,,alert,,,,,,,6,component-local,icons
$banner-context,"""Banner""",packages/usa-banner/src/styles/_usa-banner.scss,local,component,component,,,,,banner,,,,,,,7,component-local,context
$banner-guidance-measure,3,packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.category,,measure,,,banner,,,,,,,8,component-local,guidance
$banner-icon-colors,"get-link-tokens-from-bg( $theme-banner-background-color, $theme-banner-link-color, $context: $banner-context )",packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.element,,,,,banner,icon,,,,,icon:element/component,9,component-local,colors
$banner-icon-color,"list.nth($banner-icon-colors, 1)",packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.category.element,,color,,,banner,icon,,,,,color:category/property; icon:element/component,14,component-local,
$banner-icon-hover,"list.nth($banner-icon-colors, 2)",packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.element.state,,,,,banner,icon,,hover,,,icon:element/component,15,component-local,
$banner-icon-chevron,"( ""name"": ""expand_more"", ""svg-height"": 40, ""svg-width"": 40, ""height"": 2, ""color"": $banner-icon-color, ""color-variant"": ""white"", ""color-hover"": $banner-icon-hover, )",packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.element,,,,,banner,icon,,,,,icon:element/component,16,component-local|map-container,chevron
$banner-icon-chevron-name,"""expand_more""",packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.element,,,,,banner,icon,,,,,icon:element/component,16,component-local,chevron name
$banner-icon-chevron-svg-height,40,packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.property.element,,,,height,banner,icon,,,,,icon:element/component,16,component-local,chevron svg
$banner-icon-chevron-svg-width,40,packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.property.element,,,,width,banner,icon,,,,,icon:element/component,16,component-local,chevron svg
$banner-icon-chevron-height,2,packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.property.element,,,,height,banner,icon,,,,,icon:element/component,16,component-local,chevron
$banner-icon-chevron-color,$banner-icon-color,packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.category.element,,color,,,banner,icon,,,,,color:category/property; icon:element/component,16,component-local,chevron
$banner-icon-chevron-color-variant,"""white""",packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.category.element,,color,,,banner,icon,,,,,color:category/property; icon:element/component,16,component-local,chevron variant
$banner-icon-chevron-color-hover,$banner-icon-hover,packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.category.element.state,,color,,,banner,icon,,hover,,,color:category/property; icon:element/component,16,component-local,chevron
$banner-icon-chevron-up,"map.merge( $banner-icon-chevron, ( ""name"": ""expand_less"", ) )",packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.element,,,,,banner,icon,,,,,icon:element/component,25,component-local,chevron up
$banner-icon-close,"( ""name"": ""close"", ""svg-height"": 40, ""svg-width"": 40, ""height"": 3, ""color"": ""blue-60v"", ""color-variant"": ""white"", ""container-height"": $size-touch-target, ""container-width"": $size-touch-target, )",packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.element,,,,,banner,icon,,,,,icon:element/component,31,component-local|map-container,close
$banner-icon-close-name,"""close""",packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.element,,,,,banner,icon,,,,,icon:element/component,31,component-local,close name
$banner-icon-close-svg-height,40,packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.property.element,,,,height,banner,icon,,,,,icon:element/component,31,component-local,close svg
$banner-icon-close-svg-width,40,packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.property.element,,,,width,banner,icon,,,,,icon:element/component,31,component-local,close svg
$banner-icon-close-height,3,packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.property.element,,,,height,banner,icon,,,,,icon:element/component,31,component-local,close
$banner-icon-close-color,"""blue-60v""",packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.category.element,,color,,,banner,icon,,,,,color:category/property; icon:element/component,31,component-local,close
$banner-icon-close-color-variant,"""white""",packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.category.element,,color,,,banner,icon,,,,,color:category/property; icon:element/component,31,component-local,close variant
$banner-icon-close-container-height,$size-touch-target,packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.property.element,,,,container,banner,icon,,,,,icon:element/component,31,component-local,close height
$banner-icon-close-container-width,$size-touch-target,packages/usa-banner/src/styles/_usa-banner.scss,local,component,component.property.element,,,,container,banner,icon,,,,,icon:element/component,31,component-local,close width
$breadcrumb-context,"""Breadcrumb""",packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component,,,,,breadcrumb,,,,,,,12,component-local,context
$gap-inline-spacer,-0.25em,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,category,,gap,,,,,,,,,,13,component-local,inline spacer
$icon-vertical-spacer,-0.2em,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component,,,,,icon,,,,,,icon:component/element,14,component-local,vertical spacer
$breadcrumb-gap,1.5,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.category,,gap,,,breadcrumb,,,,,,,16,component-local,
$breadcrumb-icon-height,2.5ex,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.property.element,,,,height,breadcrumb,icon,,,,,icon:element/component,17,component-local,
$breadcrumb-icon-display-height,2ex,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.property.element,,,,display,breadcrumb,icon,,,,,display:property/component; icon:element/component,18,component-local,height
$breadcrumb-icon-spacing,0px,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.category.element,,spacing,,,breadcrumb,icon,,,,,icon:element/component,19,component-local,
$icon-breadcrumb-separator,"( ""name"": ""navigate_next"", ""svg-height"": 40, ""svg-width"": 40, ""height"": $breadcrumb-icon-display-height, ""color"": $theme-breadcrumb-separator-color, )",packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.property,,,,separator,icon,,,,,,icon:component/element,21,component-local|map-container,breadcrumb
$icon-breadcrumb-separator-name,"""navigate_next""",packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.property,,,,separator,icon,,,,,,icon:component/element,21,component-local,breadcrumb name
$icon-breadcrumb-separator-svg-height,40,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.property,,,,separator,icon,,,,,,icon:component/element,21,component-local,breadcrumb svg height
$icon-breadcrumb-separator-svg-width,40,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.property,,,,separator,icon,,,,,,icon:component/element,21,component-local,breadcrumb svg width
$icon-breadcrumb-separator-height,$breadcrumb-icon-display-height,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.property,,,,separator,icon,,,,,,icon:component/element,21,component-local,breadcrumb height
$icon-breadcrumb-separator-color,$theme-breadcrumb-separator-color,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.category.property,,color,,separator,icon,,,,,,color:category/property; icon:component/element,21,component-local,breadcrumb
$icon-breadcrumb-back,"( ""name"": ""arrow_back"", ""svg-height"": 40, ""svg-width"": 40, ""height"": $breadcrumb-icon-display-height, ""color"": $theme-breadcrumb-separator-color, )",packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component,,,,,icon,,,,,,icon:component/element,29,component-local|map-container,breadcrumb back
$icon-breadcrumb-back-name,"""arrow_back""",packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component,,,,,icon,,,,,,icon:component/element,29,component-local,breadcrumb back name
$icon-breadcrumb-back-svg-height,40,packages/usa-breadcrumb/src/styles/_usa-breadcrumb.scss,local,component,component.property,,,,height,icon,,,,,,icon:component/element,29,component-local,breadcrumb back svg
